,0
160,{}
161,"{'le': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('m', 0.4595372505349903), ('##uri', 0.3897564882896946), ('##ne', 0.7151462914312422), ('le', 0.0673474404677932), ('##uke', -0.14490193573221263), ('##mia', -0.062372369372159085), ('l', 0.17450756118322633), ('##12', 0.03599723083302544), ('##10', 0.04297893200158108), ('cells', 0.16468257151184504), ('rendered', 0.10167091505818361), ('def', -0.017900713914017072), ('##icient', 0.00188857226342634), ('in', 0.009359826049812637), ('g', 0.00667571919790419), ('##lut', 0.031080897824605866), ('##ath', 0.010133599300490438), ('##ione', 0.0157680800361755), ('per', 0.02494495598584537), ('##ox', 0.00911215238887543), ('##idas', -0.02505574272381849), ('##e', -0.024701217107437935), ('(', -0.022625374318832162), ('g', -0.01573126902916597), ('##p', 0.009790358902842477), ('##x', 0.00022762678054081398), (')', 0.011989081132415895), ('and', 0.014032965823437991), ('p', 0.008112263673939977), ('##hos', 0.01044901940902703), ('##ph', 0.012366278445655628), ('##oli', 0.0157057544807487), ('##pid', 0.016214493506307794), ('h', 0.012620139137180807), ('##ydro', 0.012461541840207379), ('##per', 0.011992819131008369), ('##oxide', 0.006377813892631581), ('g', 0.011911464061403042), ('##lut', 0.017375778087538294), ('##ath', 0.008875557723353255), ('##ione', 0.011700705628792085), ('per', 0.01295651400756443), ('##ox', 0.002563609385413773), ('##idas', -0.0029280898567027444), ('##e', 0.0028172939216790484), ('(', 0.00819613500129663), ('p', 0.012988010926799734), ('##h', 0.00958982720286151), ('##g', 0.010865646876072157), ('##p', 0.015257617327828408), ('##x', 0.014446510009561342), (')', 0.02503928012733083), ('by', 0.0271513065660944), ('se', 0.014256918242353069), ('de', 0.01078397888692414), ('##p', 0.020721075349378285), ('##ri', 0.006333163292725033), ('##vation', 0.014058254135367146), ('(', 0.0074984409987381715), ('l', 0.0044622211245646725), ('.', 0.002384456938856236), ('se', 0.0004998630781491432), ('(', 0.007162120128073825), ('-', -0.0008046180980411867), (')', 0.016995584581318772), ('cells', 0.0035306147223051216), (')', 0.00030919574784132116), ('were', 0.009650309888673823), ('found', -0.004145317051900993), ('to', 0.007161625848598742), ('be', -0.018496480787531137), ('more', -0.026131680877432655), ('sensitive', -0.009659287612559176), ('to', -0.0019847699138618056), ('te', -0.0010050879911679543), ('##rt', 0.00684379785713155), ('-', 0.019770348465580147), ('but', 0.0209817407338645), ('##yl', -0.006751766924875596), ('h', 0.010827004156384455), ('##ydro', 0.017606495829110055), ('##per', 0.008896495607584562), ('##oxide', 0.015572553010682921), ('(', -0.006270238418460998), ('t', 0.009092983930187374), ('-', 0.00951779857309838), ('b', 0.017464166673348297), ('##uo', 0.0064705315045218165), ('##oh', 0.007194428744918696), (')', 0.033127190506963645), ('c', 0.010111217435760066), ('##yt', 0.0031784026627016725), ('##oto', 0.010712862345168687), ('##xi', 0.010443752309438092), ('##city', 0.00882554253506647), ('than', -0.0265777685358108), ('se', 0.006636976288886738), ('-', 0.014751467533757062), ('re', 0.022110628074734285), ('##ple', 0.01964653009281796), ('##te', 0.027463471423604856), ('controls', 0.004648579080694946), ('(', -0.033838045079754416), ('l', 0.017356686130858286), ('.', 0.029014539419347663), ('se', 0.004642832985623005), ('(', 0.047070588923849056), ('+', 0.007032398932218196), (')', 0.008182377957120433), ('cells', 0.0388200075166328), (')', 0.017334631948554967), ('.', -0.009177975272431207), ('[SEP]', 0.0)]}, 'l': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('m', 0.01084201340065458), ('##uri', 0.01674423044762267), ('##ne', 0.014239634106910998), ('le', 0.014883883527775843), ('##uke', 0.014565843285116127), ('##mia', 0.0104193841507405), ('l', 0.04478069044342695), ('##12', 0.011229980657403884), ('##10', 0.024304080017332703), ('cells', 0.14045572392945707), ('rendered', 0.01673699698825585), ('def', 0.01269930410196161), ('##icient', 0.028252767867137544), ('in', 0.02774684163053702), ('g', 0.017304607286181134), ('##lut', 0.01648668951369326), ('##ath', 0.005817804937893801), ('##ione', 0.029388174337365333), ('per', 0.010735690905069931), ('##ox', 0.014567264130930175), ('##idas', 0.029078664235101852), ('##e', 0.035874469574294875), ('(', 0.028028042253715114), ('g', 0.015124313490717514), ('##p', 0.011958252530820288), ('##x', 0.02020385318811981), (')', 0.02343694300153098), ('and', 0.02212097695771877), ('p', 0.0028027911713333947), ('##hos', 0.007105974698110915), ('##ph', 0.004912978333023635), ('##oli', 0.018678541156884474), ('##pid', 0.0193427870526743), ('h', 0.007005379956108678), ('##ydro', 0.013762797772466768), ('##per', 0.016541386623222513), ('##oxide', 0.018605298459469143), ('g', 0.018753268782329097), ('##lut', 0.024556788724118393), ('##ath', 0.01616030068146267), ('##ione', 0.03195356295620476), ('per', 0.010360171718748163), ('##ox', 0.024681134537819532), ('##idas', 0.025053027776768814), ('##e', 0.028362077599525866), ('(', 0.019217151858866632), ('p', 0.011758175225805334), ('##h', 0.013961247073411325), ('##g', 0.014968286833479314), ('##p', 0.009321043047296047), ('##x', 0.01722039615666823), (')', 0.0207698522299428), ('by', 0.01885277005348232), ('se', 0.011445773120038059), ('de', 0.010938711551933957), ('##p', 0.01193339159350303), ('##ri', 0.005765924010100236), ('##vation', 0.035521218327222256), ('(', 0.053941134046223985), ('l', 0.00869110334518802), ('.', -0.02061149408347743), ('se', 0.044626619101734655), ('(', 0.0344750818127283), ('-', 0.009721421323115261), (')', 0.0181987904155125), ('cells', 0.05072281148017859), (')', 0.02850993352176857), ('were', 0.02369278430723619), ('found', 0.00893581626588761), ('to', 0.012301736056475587), ('be', 0.027217617214735527), ('more', 0.027987438630831734), ('sensitive', 0.04230576905836506), ('to', 0.02670607885223673), ('te', 0.014693306080778363), ('##rt', 0.028709623931542548), ('-', 0.033898098727031305), ('but', -0.007257229281290609), ('##yl', 0.040940990081808785), ('h', 0.006335375217200676), ('##ydro', 0.023376572489697798), ('##per', 0.02421996171335943), ('##oxide', 0.0059937332709775306), ('(', 0.029059874489885642), ('t', 0.00911237325142079), ('-', 0.01999205382045335), ('b', 0.008595046953968764), ('##uo', 0.028088509573298424), ('##oh', 0.022022501757810464), (')', 0.02195460863465075), ('c', 0.014308574120239769), ('##yt', 0.02515784534226102), ('##oto', 0.0202007865573786), ('##xi', 0.022360115428130888), ('##city', 0.0378518408299931), ('than', 0.03220584280794893), ('se', 0.054584745431493185), ('-', 0.03560073693344548), ('re', 0.02083216758177857), ('##ple', 0.01286092443016682), ('##te', 0.03227257934426422), ('controls', 0.06490190512135224), ('(', 0.17715901118151609), ('l', 0.33592921289185596), ('.', 0.048647655450343816), ('se', 0.2216558337933336), ('(', 0.21323406160443964), ('+', 0.21992714742321626), (')', 0.45058529176525824), ('cells', 0.6167128076342557), (')', 0.21682242079514205), ('.', 0.016356758922954635), ('[SEP]', 0.0)]}}"
162,"{'cell': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('depending', 0.05204673989997748), ('on', -0.05954691902699799), ('the', -0.07394484769863241), ('cell', 0.8578162778155449), ('type', 0.4802925435322982), (',', 0.084367045915113), ('expression', 0.06480146454857298), ('of', 0.05651635811779606), ('an', 0.0095728638950255), ('##g', 0.013340406396707761), ('##pt', 0.022474268336865447), ('##1', 0.028794041824076442), ('and', 0.035525201743790785), ('an', -0.012174127265485524), ('##g', 0.018547737680073523), ('##pt', 0.004150614963834678), ('##2', 0.011915170348170176), ('was', 0.010034233291674199), ('either', -0.00014179733560399906), ('activated', 0.026591658431789695), ('or', -0.0019086428295650762), ('re', -0.0038258832796223383), ('##pressed', -0.00135511201136212), ('in', 0.0007585780605021551), ('response', 0.024126962847608516), ('to', 0.009203838620322136), ('h', 0.013761935865345493), ('##y', 0.02509306735426251), ('##pox', -0.011234123645099806), ('##ia', 0.0308820738769614), ('or', 0.004489014184234222), ('ad', 0.00802308851010826), ('##ca', 0.013269822304263271), ('##5', -0.007898503175601158), ('.', -0.001444112852369091), ('[SEP]', 0.0)]}}"
163,{}
164,"{'la': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('we', 0.009371976301663372), ('show', 0.01030892168647672), ('that', 0.05026271699866265), ('restoration', 0.041042591960334766), ('of', 0.02841248177183391), ('fox', 0.013283742864101526), ('##o', 0.03211184812523119), ('##3', 0.05785003476389157), ('##a', 0.033670494704068), ('in', 0.04072864387732937), ('fox', 0.007373610990725367), ('##o', 0.02945257185291131), ('##3', 0.018081651515426206), ('##a', 0.01872858231852349), ('-', -0.00476738938626051), ('def', 0.03661160771537738), ('##icient', 0.004704804032714053), ('la', -0.1549426947760348), ('##c', 0.1407812818237816), ('cells', 0.960551265540912), ('increases', 0.0718792733335289), ('sensitivity', 0.04096939697877982), ('to', 0.032519651229763656), ('a', 0.04408661393615615), ('##pop', 0.022880558462995613), ('##tosis', 0.03646406408650232), ('caused', 0.02194150046600713), ('by', 0.016951659236163846), ('a', 0.01594639992853255), ('d', 0.005616881303168528), ('##na', 0.008971238603182385), ('-', 0.012157790696307211), ('damaging', 0.0053586741287027055), ('intermediate', 0.01698720670225784), ('of', 0.06171350318650151), ('n', 0.020758662024642504), ('##nk', -0.008400142812405979), ('.', -0.01900513474309799), ('[SEP]', 0.0)]}}"
165,{}
166,{}
167,{}
168,{}
169,{}
170,"{'cancer': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('regardless', 0.012631998733270438), ('how', -0.05804195755615892), ('death', 0.06597179988053842), ('is', 0.04299037433268058), ('inflicted', 0.048440495712483836), (',', -0.00862416423991039), ('every', -0.012387214264455606), ('cancer', 0.7058091232854463), ('cell', 0.5515089916183842), ('must', 0.4031737049325258), ('die', 0.04835159441574133), (',', 0.088006038379303), ('be', 0.043562413168018385), ('it', 0.08693638264741699), ('fast', 0.022583081812819983), ('or', 0.043645785559174914), ('slow', 0.02938874081117597), ('.', -0.0013723290933004156), ('[SEP]', 0.0)]}}"
171,{}
172,{}
173,{}
174,"{'f': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('f', 0.047988262087781466), ('##m', 0.4038930826954346), ('-', 0.46821137211516933), ('m', 0.2718761655339725), ('##s', 0.1282617009618624), ('##c', 0.10588306494749503), ('and', 0.3185312297954628), ('b', 0.1214304703245), ('##m', 0.27874073881495337), ('-', 0.3081636457580742), ('m', 0.1999352420905637), ('##s', 0.1741575090967178), ('##c', 0.07802257103720785), ('both', 0.17297781364207085), ('expressed', 0.14824784464967813), ('major', 0.031858105455417375), ('his', 0.048868670155126935), ('##to', 0.040270422288836386), ('##com', 0.02555270928206459), ('##pa', 0.03694106052435051), ('##ti', 0.06102032910829266), ('##bility', 0.045975351899208795), ('complex', 0.055802132202406464), ('(', 0.023850329036622753), ('m', 0.023808966607883782), ('##h', 0.04227448746296075), ('##c', 0.02571355697900676), (')', 0.0815796820016808), ('class', 0.04096239777368748), ('i', 0.028479695829646736), ('but', 0.0388130893148756), ('not', 0.06090977299013513), ('m', 0.022837870743216852), ('##h', 0.03404497156155211), ('##c', 0.021566543261854965), ('class', 0.09667147783435194), ('ii', -0.05275659835599634), ('anti', 0.09901807541900194), ('##gens', 0.09265670816878645), ('and', 0.03996499319530761), ('did', 0.03796008131296732), ('not', 0.0402634674525089), ('el', 0.04507830532551174), ('##icit', 0.04366837606372685), ('all', 0.04590323374777463), ('##ogen', 0.0409053439654542), ('##ei', 0.0018737194608134107), ('##c', 0.033457449480274466), ('l', 0.012842186055711203), ('##ymph', 0.028480699035421768), ('##oc', -0.000735888551856583), ('##yte', 0.05037628192056091), ('proliferation', 0.0948135123369662), ('in', 0.0023585607378251686), ('mixed', 0.03074584263044198), ('l', 0.029377618697836064), ('##ymph', 0.0246940030595313), ('##oc', 0.00378529238705401), ('##yte', 0.01121777129809713), ('culture', 0.03578760670836961), ('.', 0.012415097708058202), ('[SEP]', 0.0)]}, 'b': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('f', 0.11092155798530443), ('##m', 0.17983516647042594), ('-', 0.3216424330748398), ('m', 0.17216323147953266), ('##s', 0.10131352497261116), ('##c', 0.12477064234984712), ('and', 0.22702823264054386), ('b', 0.0794873670317966), ('##m', 0.25418944825327455), ('-', 0.5820880647395819), ('m', 0.3545715755655328), ('##s', 0.2484852224891641), ('##c', 0.05000257098103092), ('both', 0.21400103114988975), ('expressed', 0.16333145577680394), ('major', 0.07290337708096892), ('his', 0.024334013357478906), ('##to', 0.04621219572337776), ('##com', 0.024258699386653315), ('##pa', 0.02896126333913156), ('##ti', 0.043641637217215465), ('##bility', 0.032407752455992804), ('complex', 0.04632190128084451), ('(', 0.005244583050261125), ('m', 0.013964172307962725), ('##h', 0.03172918687147714), ('##c', -0.005884792647206751), (')', 0.05121624260375877), ('class', 0.047277385121132644), ('i', 0.0327674040043831), ('but', 0.0330001871891318), ('not', 0.05548812999381541), ('m', 0.012079674631302127), ('##h', 0.01716747629468942), ('##c', 0.015705841761680363), ('class', 0.06414222098990853), ('ii', -0.029495521702349314), ('anti', 0.0824455580792239), ('##gens', 0.08626891429552283), ('and', 0.050081370209019344), ('did', 0.03856696230907679), ('not', 0.046725048679198425), ('el', 0.048763848559216574), ('##icit', 0.04888450886312564), ('all', 0.052417500274762004), ('##ogen', 0.05018485027868749), ('##ei', -0.006369343933436787), ('##c', 0.02711587021883216), ('l', 0.03506312394503045), ('##ymph', 0.022660447179253536), ('##oc', -0.00659029360023309), ('##yte', 0.03724598488669319), ('proliferation', 0.06340726985411091), ('in', 0.02260615668434845), ('mixed', 0.00930595483243093), ('l', 0.021422988486722788), ('##ymph', 0.008203324720079175), ('##oc', -0.009818111004002443), ('##yte', 0.03666525502716702), ('culture', 0.009545983867336074), ('.', -0.0027234456988314225), ('[SEP]', 0.0)]}, 'l': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('f', 0.016596159788041877), ('##m', 0.012680834461039844), ('-', 0.039501593791391204), ('m', 0.005896612850222508), ('##s', 0.04507858313481191), ('##c', 0.011027166857302345), ('and', 0.012294467369649283), ('b', 0.01740249484199177), ('##m', 0.011645802354096527), ('-', 0.04112921763815635), ('m', 0.009689661962485588), ('##s', 0.017680400772045104), ('##c', 0.0028072856637029143), ('both', 0.0212646520836476), ('expressed', 0.009251142792520128), ('major', 0.006068178124543584), ('his', 0.015201272206006965), ('##to', 0.008436310889997339), ('##com', 0.011777864978629152), ('##pa', 0.008953028118409725), ('##ti', 0.017739815602364675), ('##bility', 0.01515218453125968), ('complex', -0.004312017896325478), ('(', -0.008728128177996905), ('m', 0.0005838548744549639), ('##h', 0.010630385030534997), ('##c', -0.0060394163953835485), (')', 0.01695554606232224), ('class', 0.020056635489401432), ('i', 0.015456300401171087), ('but', 0.028640260197897886), ('not', 0.026781055053342273), ('m', 0.020975285190034887), ('##h', 0.047616784800503534), ('##c', 0.03494616371421909), ('class', 0.039514197675502225), ('ii', 0.0005431757596038819), ('anti', 0.029305836770513065), ('##gens', 0.019382356414451598), ('and', 0.021376515582566202), ('did', 0.039967560986763136), ('not', 0.027388711551301945), ('el', 0.015469850659510382), ('##icit', 0.02164068784502231), ('all', 0.06385007326894156), ('##ogen', 0.05643399662198221), ('##ei', 0.016797395591256852), ('##c', -0.02293797462599354), ('l', 0.04973328359625077), ('##ymph', 0.0590913126224791), ('##oc', 0.07184075883515281), ('##yte', 0.30243603318254575), ('proliferation', 0.140936067804361), ('in', 0.12085678511542416), ('mixed', -0.00683259993442958), ('l', -0.022241252062569748), ('##ymph', 0.30685137908945087), ('##oc', 0.44356488788887416), ('##yte', 0.687967323045529), ('culture', 0.2615499491167284), ('.', 0.015565058593173439), ('[SEP]', 0.0)]}, '##ymph': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('f', -0.07417491970525622), ('##m', -0.08136330167462989), ('-', -0.008075703016807547), ('m', -0.047628235116140887), ('##s', 0.09984300758449766), ('##c', 0.006058300252911406), ('and', 0.049740235332040174), ('b', -0.03517128811277111), ('##m', -0.009090946959429122), ('-', 0.07492695069177882), ('m', 0.038672361229370844), ('##s', 0.014980551131820131), ('##c', 0.08238300450730937), ('both', 0.020964099243861393), ('expressed', 0.0406978612620095), ('major', 0.018645012925534787), ('his', -0.0386451092823899), ('##to', -0.00869712130022209), ('##com', -0.013648602417390045), ('##pa', -0.0011905408634754343), ('##ti', -0.003476895960461829), ('##bility', -0.009238674238703967), ('complex', -0.010161166240713934), ('(', 0.0068832798736926356), ('m', -0.007192002102817975), ('##h', -0.003191251841242276), ('##c', 0.010773205374011843), (')', -0.00513842003764523), ('class', -0.0519100290755766), ('i', -0.026072836984228905), ('but', 6.760845731074497e-05), ('not', 0.016627176872529927), ('m', -0.005163401639213967), ('##h', -0.020293880178772837), ('##c', 0.014102975474256896), ('class', -0.050281465147481025), ('ii', -0.019196078763222185), ('anti', -0.0005907049021593235), ('##gens', 0.057469493034403865), ('and', 0.025713139217935322), ('did', 0.004275004100139792), ('not', 0.008989097370639859), ('el', 0.022001211665172805), ('##icit', 0.016864931217375926), ('all', 0.04858068122184974), ('##ogen', -0.015049177406080767), ('##ei', -0.046377942182823095), ('##c', 0.027560435342442055), ('l', 0.009158042098214882), ('##ymph', 0.2584016328901117), ('##oc', 0.007633692837789368), ('##yte', 0.11279366337447917), ('proliferation', -0.15490690712096497), ('in', 0.1797107438660131), ('mixed', -0.5174888069656394), ('l', 0.5538544994007263), ('##ymph', 0.335350397787289), ('##oc', -0.007495949263407557), ('##yte', 0.23257353440844364), ('culture', 0.23940962222648382), ('.', 0.03250808184877566), ('[SEP]', 0.0)]}, '[SEP]': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('f', 0.06515640758747862), ('##m', 0.2567276122451734), ('-', 0.14891080567047638), ('m', 0.24006440518233527), ('##s', 0.10732194080887113), ('##c', 0.11902279755331216), ('and', 0.12033120758973219), ('b', 0.09755374004021933), ('##m', 0.25699428332327773), ('-', 0.19316780237534528), ('m', 0.26665483169129217), ('##s', 0.0559523779008567), ('##c', 0.14239174917023073), ('both', 0.139982346982026), ('expressed', 0.046519804061286286), ('major', 0.19153898104984554), ('his', 0.006776756823514021), ('##to', 0.05993336630031221), ('##com', 0.06083226086923445), ('##pa', 0.03862564426272472), ('##ti', 0.13250055057959706), ('##bility', 0.12631429300611924), ('complex', 0.07786398096607412), ('(', 0.02404676640094129), ('m', 0.03154757769240174), ('##h', 0.05580711714924964), ('##c', 0.015606714705135813), (')', 0.01886109891975222), ('class', 0.38209280352145936), ('i', 0.07518505591535367), ('but', 0.11354126588176304), ('not', 0.004282217398898855), ('m', -0.017524156561113353), ('##h', 0.08639253956114022), ('##c', 0.0787337696468804), ('class', 0.3873371442627794), ('ii', -0.21300357366810105), ('anti', 0.09017115693992302), ('##gens', 0.08784268043698432), ('and', 0.0453651410821212), ('did', 0.04706849866158257), ('not', 0.015587781634655936), ('el', 0.013449980316347704), ('##icit', 0.014604326201478385), ('all', 0.04912708920039212), ('##ogen', -0.03739958046973251), ('##ei', 0.13247794432430843), ('##c', 0.10346394417442996), ('l', 0.06446420606169963), ('##ymph', 0.04710557580018188), ('##oc', -0.030386463139613934), ('##yte', 0.14608974469493588), ('proliferation', 0.11732261259868826), ('in', -0.033172977601338416), ('mixed', 0.0685800815747514), ('l', 0.05992900291495918), ('##ymph', 0.04737412918262852), ('##oc', 0.0011300609530092182), ('##yte', 0.028825882133983093), ('culture', 0.08872804988833174), ('.', 0.029120025926980816), ('[SEP]', 0.0)]}}"
175,{}
176,{}
177,{}
178,{}
179,{}
180,{}
181,"{'end': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('an', 0.01820507430766701), ('##gio', 0.03557324786111707), ('##tens', 0.025852574319132782), ('##in', 0.07483317188911742), ('ii', 0.03660458140538347), ('(', 0.03913989910399976), ('an', 0.05396969745178695), ('##g', 0.062176922995238394), ('ii', 0.04373951889313169), (')', 0.06269297790925259), (',', 0.04944347546397327), ('a', 0.04354749741273974), ('key', 0.03456522600406429), ('regulator', 0.028974056659120406), ('of', 0.024310364223411738), ('blood', 0.03430526619005742), ('pressure', 0.02952281549975766), ('and', 0.02458387258709799), ('body', 0.033885009593823956), ('fluid', 0.020256292671663394), ('home', 0.019009034120256587), ('##ost', 0.007207373785638423), ('##asis', 0.01470469941652469), (',', 0.028321611119245964), ('ex', 0.03078360488215963), ('##ert', 0.004909793655338607), ('##s', 0.019330512857600117), ('mit', 0.0158116257431556), ('##ogenic', 0.018132277163440312), ('effects', 0.0469786360875867), ('on', 0.1448894588560351), ('end', 0.126994167570378), ('##oth', 0.231776900493619), ('##eli', 0.11721010554743203), ('##al', 0.16868344764347076), ('cells', 0.905347628506684), ('.', 0.08492704825578506), ('[SEP]', 0.0)]}}"
182,{}
183,"{'o': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('roles', 0.047760624300155284), ('of', 0.023051219980128893), ('br', 0.030622981991439438), ('##ca', 0.006200105139850254), ('##2', 0.02505076297780885), ('(', -0.03920012298800582), ('fan', 0.009772082490153768), ('##c', 0.036637303432039456), ('##d', 0.025351279136005194), ('##1', -0.0075095861297379395), (')', 0.057774732661376185), ('in', -0.315803968933708), ('o', -0.10701962705408288), ('##oc', 0.021593823663555622), ('##yte', 0.4148622855585731), ('nuclear', 0.6501408661456607), ('architecture', 0.4853715941311477), (',', 0.008754586018289717), ('game', -0.025305493994398985), ('##to', -0.006109048466400513), ('##genesis', 0.14605222259226233), (',', 0.01560539293385195), ('go', -0.010007734907162344), ('##na', -0.0077915426471177225), ('##d', 0.0025757539268894056), ('tumors', 0.07546624172926195), (',', 0.009344782703557984), ('and', -0.001390316883628292), ('genome', 0.011417920683315637), ('stability', 0.12913272971867013), ('in', -0.013844195368260504), ('z', 0.02388358664624172), ('##eb', 0.01166522527683403), ('##ra', 0.021745884678684022), ('##fish', -0.009127966358238242), ('.', 0.000522190410000569), ('[SEP]', 0.0)]}}"
184,{}
185,{}
186,"{'cells': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('at', 0.03754461856310869), ('this', 0.029648183142257357), ('time', 0.03597763116926181), (',', -0.009527002364004496), ('the', -0.03535484450080768), ('cells', 0.9545314285525122), (""'"", 0.13765671864054468), ('growth', 0.23554925976215083), ('is', -0.05855760100806698), ('arrested', 0.06289426773497475), ('at', 0.02166635832668337), ('very', 0.006805507529866812), ('high', 0.004782431388348142), ('density', -0.0014592723662274092), (',', 0.009763822752408297), ('and', 0.007408421175359101), ('no', -0.01501621667981894), ('differentiated', 0.012415638748588082), ('m', 0.014525749624019197), ('##or', 0.008683767201438337), ('##ph', 0.01496000941391807), ('##olo', -0.00040836063694754736), ('##gic', 0.002341526035815084), ('characteristics', -0.0037975303300839184), ('are', -0.017432903326251067), ('observed', 0.009682919807993046), ('.', -0.011400468392243322), ('[SEP]', 0.0)]}}"
187,{}
188,"{'f': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('f', 0.10522788288259112), ('##m', 0.3633030419240935), ('-', 0.5697402643355569), ('m', 0.3554814071141221), ('##s', 0.2336919008608252), ('##c', 0.18084801913543305), ('were', 0.17110910472565563), ('obtained', 0.17240727547308946), ('from', 0.1614994876500739), ('le', 0.13153003681918624), ('##wi', 0.0917857408651548), ('##s', 0.06878633439449326), ('rats', 0.043224566816824336), ('and', 0.09516750523835073), ('had', 0.03838650779708384), ('surface', 0.06027305799929668), ('anti', 0.03851298158824656), ('##gen', 0.03817058365729479), ('expression', 0.09988267575630673), ('and', 0.041861879131839565), ('multi', 0.03998210822205216), ('##pot', 0.045052946141123484), ('##ent', 0.05462989675722963), ('potential', 0.061696419871448215), ('partly', 0.02409065959481834), ('similar', 0.01797581000630137), ('to', 0.07596197906092654), ('those', 0.14927112920303662), ('of', 0.1239777703065914), ('b', 0.03746901829668358), ('##m', 0.04037022787441608), ('-', 0.24430971071258376), ('m', 0.09255744676535735), ('##s', 0.19172322411157636), ('##c', 0.09476185608816323), ('.', 0.025230862022380694), ('[SEP]', 0.0)]}, 'b': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('f', 0.1435536649518669), ('##m', 0.10351394438510338), ('-', 0.21734021352722413), ('m', 0.18277686169148202), ('##s', 0.18556041010670646), ('##c', 0.1627640914084683), ('were', 0.12816422171556896), ('obtained', 0.17612569407286288), ('from', 0.13364277789485562), ('le', 0.09817984211470009), ('##wi', 0.07221004938534488), ('##s', 0.047572776547766586), ('rats', 0.05527239209627581), ('and', 0.09906223681534708), ('had', 0.057975212120577505), ('surface', 0.06692277360373242), ('anti', 0.0546327225880172), ('##gen', 0.05782983925028098), ('expression', 0.11104838503892156), ('and', 0.06692376515675931), ('multi', 0.057414581621845165), ('##pot', 0.05087183330771456), ('##ent', 0.05735260104465204), ('potential', 0.09255806669791553), ('partly', 0.02634482103489692), ('similar', 0.05213440234826698), ('to', 0.10313696610031897), ('those', 0.24734223883988973), ('of', 0.21234100149113697), ('b', 0.10537147115091194), ('##m', 0.035895352662113585), ('-', 0.5818285908228537), ('m', 0.17020741412142396), ('##s', 0.3827020341348875), ('##c', 0.18623406923526245), ('.', 0.041827589075533744), ('[SEP]', 0.0)]}, '[SEP]': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('f', 0.14532469600070413), ('##m', 0.07883989302194847), ('-', 0.23043735674298912), ('m', 0.37430590560040433), ('##s', 0.31818305696001997), ('##c', 0.1979278941925165), ('were', 0.16451216720442385), ('obtained', 0.27295207060623067), ('from', 0.14771010438616766), ('le', 0.18057652051718126), ('##wi', 0.017826205829186502), ('##s', 0.10934816943206076), ('rats', 0.17963040249801424), ('and', 0.0953954782072443), ('had', 0.07757085175610667), ('surface', 0.10684892388014641), ('anti', 0.04554187493658533), ('##gen', -0.006382987317934174), ('expression', 0.20400598309971282), ('and', 0.1161873501035622), ('multi', 0.15284149111955986), ('##pot', 0.023159985611595664), ('##ent', 0.17079698115479827), ('potential', 0.15065090627140174), ('partly', 0.047374509837784004), ('similar', 0.07345712013503036), ('to', 0.11036190144396489), ('those', 0.2840422196449126), ('of', 0.11302960822448468), ('b', 0.10086725685844908), ('##m', 0.03034699725725181), ('-', 0.18387589334063836), ('m', 0.13669946083023074), ('##s', 0.2951351298241088), ('##c', 0.11908566346724743), ('.', 0.028677854153603462), ('[SEP]', 0.0)]}}"
